,width,height,intensity,num_lines_abs,num_shapes_abs,num_lines_unit,num_shapes_unit
1,1,1,2,5,11,5.0,11.0
2,1,1,4,17,36,17.0,36.0
3,1,1,8,32,126,32.0,126.0
4,1,1,16,58,448,58.0,448.0
0,1,1,1,3,4,3.0,4.0
1,1,1,2,7,11,7.0,11.0
2,1,1,4,11,22,11.0,22.0
3,1,1,8,40,68,40.0,68.0
4,1,1,16,56,307,56.0,307.0
0,1,1,1,4,4,4.0,4.0
1,1,1,2,6,7,6.0,7.0
2,1,1,4,25,59,25.0,59.0
3,1,1,8,31,106,31.0,106.0
4,1,1,16,68,617,68.0,617.0
0,1,1,1,3,4,3.0,4.0
1,1,1,2,9,7,9.0,7.0
2,1,1,4,14,21,14.0,21.0
3,1,1,8,24,52,24.0,52.0
4,1,1,16,61,268,61.0,268.0
0,1,1,1,4,7,4.0,7.0
1,1,1,2,11,31,11.0,31.0
2,1,1,4,24,50,24.0,50.0
3,1,1,8,29,111,29.0,111.0
4,1,1,16,56,325,56.0,325.0
0,1,1,1,3,5,3.0,5.0
1,1,1,2,12,23,12.0,23.0
2,1,1,4,12,21,12.0,21.0
3,1,1,8,37,173,37.0,173.0
4,1,1,16,49,223,49.0,223.0
0,1,1,1,2,1,2.0,1.0
1,1,1,2,12,14,12.0,14.0
2,1,1,4,19,49,19.0,49.0
3,1,1,8,24,65,24.0,65.0
4,1,1,16,76,684,76.0,684.0
0,1,1,1,2,1,2.0,1.0
1,1,1,2,6,10,6.0,10.0
2,1,1,4,10,10,10.0,10.0
3,1,1,8,44,230,44.0,230.0
4,1,1,16,63,342,63.0,342.0
0,1,1,1,4,1,4.0,1.0
1,1,1,2,7,20,7.0,20.0
2,1,1,4,19,28,19.0,28.0
3,1,1,8,20,32,20.0,32.0
4,1,1,16,66,226,66.0,226.0
0,1,1,1,3,3,3.0,3.0
1,1,1,2,14,29,14.0,29.0
2,1,1,4,20,54,20.0,54.0
3,1,1,8,33,148,33.0,148.0
4,1,1,16,72,567,72.0,567.0
0,1,1,1,6,6,6.0,6.0
1,1,1,2,8,17,8.0,17.0
2,1,1,4,13,14,13.0,14.0
