,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
1367,51633,20,hybrid,1000,216,Oman,delta,1018065.59585176,1640.0,1016586.4247959624,167,29.970758,0.016,2.2,0.0352,1.0,7.017
1368,51633,20,hybrid,1000,216,Bangladesh,delta,994557.00819336,2660.0,991893.0718641492,950,30.058516,0.016,2.2,0.0352,1.0,3.4690000000000003
1369,51633,20,hybrid,1000,216,Oman,alpha,1005964.6698766073,1720.0,1004051.085455294,1000,30.051876,0.016,1.67,0.02672,1.0,7.017
1370,51633,20,hybrid,1000,216,Gambia,alpha,982841.1693763268,1140.0,981911.3231966397,693,22.205051,0.016,1.67,0.02672,1.0,7.228999999999999
1371,51633,20,hybrid,1000,216,Bangladesh,delta,991476.7365772292,2380.0,989158.5277831216,607,30.116549,0.016,2.2,0.0352,1.0,3.4690000000000003
1372,51633,20,hybrid,1000,216,Bangladesh,delta,991377.6482160405,2540.0,988962.5075433447,881,29.965097,0.016,2.2,0.0352,1.0,3.4690000000000003
1373,51633,20,hybrid,1000,216,Mozambique,beta,782677.1370659494,1122.985984,781713.4831448939,916,22.180296,0.016,1.0,0.016,1.0,3.366
1374,51633,20,hybrid,1000,216,Oman,gamma,1014310.7183753976,1480.0,1012935.8808282564,833,30.043398,0.016,2.0,0.032,1.0,7.017
1375,51633,20,hybrid,1000,216,Mozambique,beta,782330.3201302594,1140.0,781565.6570896442,236,22.259626,0.016,1.0,0.016,1.0,3.366
1376,51633,20,hybrid,1000,216,Bangladesh,delta,992544.5641198622,2380.0,990061.5704689192,576,30.146679,0.016,2.2,0.0352,1.0,3.4690000000000003
1377,51633,20,hybrid,1000,216,Mozambique,beta,777999.9241685539,900.0,776864.8240166289,366,22.178646,0.016,1.0,0.016,1.0,3.366
1378,51633,20,hybrid,1000,216,Bangladesh,delta,993281.5522000864,2560.0,990884.022113344,264,30.090618,0.016,2.2,0.0352,1.0,3.4690000000000003
1379,51633,20,hybrid,1000,216,Bangladesh,delta,991561.7845607965,2960.0,988291.7767038124,310,30.104906,0.016,2.2,0.0352,1.0,3.4690000000000003
1380,51633,20,hybrid,1000,216,Oman,beta,956262.6172357828,1744.29981696,954622.7255287408,320,29.852814,0.016,1.0,0.016,1.0,7.017
1381,51633,20,hybrid,1000,216,Oman,gamma,1013593.818128651,1620.0,1011987.4612848175,883,29.992863,0.016,2.0,0.032,1.0,7.017
1382,51633,20,hybrid,1000,216,Bangladesh,alpha,968469.2611503229,2140.0,966194.254698567,180,30.05907,0.016,1.67,0.02672,1.0,3.4690000000000003
1383,51633,20,hybrid,1000,216,Bangladesh,delta,992038.0539342758,2440.0,989865.3815559632,312,30.076315,0.016,2.2,0.0352,1.0,3.4690000000000003
1384,51633,20,hybrid,1000,216,Bangladesh,gamma,982881.5503175254,2620.0,980133.4374866388,641,29.88759,0.016,2.0,0.032,1.0,3.4690000000000003
1385,51633,20,hybrid,1000,216,Mozambique,beta,791192.2757591133,1305.159780352,789800.4481838258,13,22.318682,0.016,1.0,0.016,1.0,3.366
1386,51633,20,hybrid,1000,216,Bangladesh,delta,993225.65427423,2917.7775622333165,990416.3703445937,194,30.176624,0.016,2.2,0.0352,1.0,3.4690000000000003
1387,51633,20,hybrid,1000,216,Gambia,alpha,981227.7330953144,1320.0,979927.3486138612,885,22.304508,0.016,1.67,0.02672,1.0,7.228999999999999
1388,51633,20,hybrid,1000,216,Bangladesh,delta,993511.5582262924,2740.0,990623.6483275456,471,30.055498,0.016,2.2,0.0352,1.0,3.4690000000000003
1389,51633,20,hybrid,1000,216,Gambia,delta,1002453.7678304642,1060.0,1001478.8377262928,686,22.245667,0.016,2.2,0.0352,1.0,7.228999999999999
1390,51633,20,hybrid,1000,216,Oman,delta,1018692.480335584,1340.0,1017342.6973629243,730,29.996742,0.016,2.2,0.0352,1.0,7.017
1391,51633,20,hybrid,1000,216,Mozambique,delta,960864.1725338936,1240.0000000000002,959651.834201394,479,22.186958,0.016,2.2,0.0352,1.0,3.366
1392,51633,20,hybrid,1000,216,Gambia,alpha,982419.758423556,1104.8785790778284,981481.171006978,686,22.245667,0.016,1.67,0.02672,1.0,7.228999999999999
1393,51633,20,hybrid,1000,216,Mozambique,beta,780849.3189362602,1285.159780352,779727.2874170108,478,22.241055,0.016,1.0,0.016,1.0,3.366
1394,51633,20,hybrid,1000,216,Bangladesh,delta,992778.3739675516,2500.0,990483.70675115,936,30.097355,0.016,2.2,0.0352,1.0,3.4690000000000003
1395,51633,20,hybrid,1000,216,Oman,gamma,1014107.4433259337,1760.0,1012409.3510911004,624,29.985584,0.016,2.0,0.032,1.0,7.017
1396,51633,20,hybrid,1000,216,Oman,gamma,1013986.9054483802,1480.0,1012585.6885034528,65,29.949678,0.016,2.0,0.032,1.0,7.017
1397,51633,20,hybrid,1000,216,Gambia,gamma,997410.1108815108,1000.0,996245.896309486,29,22.328032,0.016,2.0,0.032,1.0,7.228999999999999
1398,51633,20,hybrid,1000,216,Bangladesh,delta,994253.6182310592,2660.0,991893.1369971244,422,30.193718,0.016,2.2,0.0352,1.0,3.4690000000000003
1399,51633,20,hybrid,1000,216,Gambia,alpha,982499.4762161263,1080.0,981262.8282574178,85,22.135447,0.016,1.67,0.02672,1.0,7.228999999999999
1400,51633,20,hybrid,1000,216,Mozambique,beta,788536.6438199179,820.0,787690.0756507299,860,22.084185,0.016,1.0,0.016,1.0,3.366
1401,51633,20,hybrid,1000,216,Bangladesh,delta,993344.381892576,2620.0,990789.8216081047,541,30.044975,0.016,2.2,0.0352,1.0,3.4690000000000003
1402,51633,20,hybrid,1000,216,Bangladesh,delta,993684.4715345924,2460.0,991442.6196096808,209,30.10828,0.016,2.2,0.0352,1.0,3.4690000000000003
1403,51633,20,hybrid,1000,216,Bangladesh,delta,994390.744147346,2880.0,991399.5860626874,169,30.311382,0.016,2.2,0.0352,1.0,3.4690000000000003
1404,51633,20,hybrid,1000,216,Bangladesh,alpha,971746.6006009632,2920.0,968787.8752673976,450,30.197374,0.016,1.67,0.02672,1.0,3.4690000000000003
1405,51633,20,hybrid,1000,216,Mozambique,alpha,919777.3324839292,1100.0,918769.4221734717,325,22.302532,0.016,1.67,0.02672,1.0,3.366
1406,51633,20,hybrid,1000,216,Mozambique,beta,782786.9787138246,840.0,782397.4776592042,594,22.111395,0.016,1.0,0.016,1.0,3.366
1407,51633,20,hybrid,1000,216,Bangladesh,delta,993095.2080992942,2220.0,990853.9879744516,411,30.244524,0.016,2.2,0.0352,1.0,3.4690000000000003
1408,51633,20,hybrid,1000,216,Bangladesh,delta,992457.883316842,2660.0,989696.077399429,761,30.189392,0.016,2.2,0.0352,1.0,3.4690000000000003
1409,51633,20,hybrid,1000,216,Gambia,gamma,998379.398208252,1220.0,996740.2001044592,958,22.297985,0.016,2.0,0.032,1.0,7.228999999999999
