,Unnamed: 0,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
3908,3908,51633,20,hybrid,1000,216,Gambia,alpha,984212.4344779146,960.0,983045.927119565,516,22.327026,0.016,1.67,0.02672,1.0,7.228999999999999
3909,3909,51633,20,hybrid,1000,216,Gambia,alpha,979878.3444477122,720.0,979211.7527534952,832,22.253868,0.016,1.67,0.02672,1.0,7.228999999999999
3914,3914,51633,20,hybrid,1000,216,Gambia,delta,1003386.5627045505,1220.0,1002162.7934345033,366,22.095768,0.016,2.2,0.0352,1.0,7.228999999999999
3916,3916,51633,20,hybrid,1000,216,Mozambique,beta,774324.7416148089,914.075880800256,772731.0412540174,82,22.203968,0.016,1.0,0.016,1.0,3.366
3917,3917,51633,20,hybrid,1000,216,Mozambique,beta,783435.4135185074,1280.0,782354.3848372288,376,22.323826,0.016,1.0,0.016,1.0,3.366
3918,3918,51633,20,hybrid,1000,216,Gambia,alpha,978801.7177823704,1200.0,977513.1847170572,262,22.064653,0.016,1.67,0.02672,1.0,7.228999999999999
3919,3919,51633,20,hybrid,1000,216,Mozambique,beta,780261.2173639758,800.0,778977.5857340841,432,22.286293,0.016,1.0,0.016,1.0,3.366
3920,3920,51633,20,hybrid,1000,216,Mozambique,beta,778030.8940381279,700.0,776736.495261994,87,22.096067,0.016,1.0,0.016,1.0,3.366
3921,3921,51633,20,hybrid,1000,216,Gambia,alpha,979105.5200288176,940.0,978693.8249387384,380,22.074642,0.016,1.67,0.02672,1.0,7.228999999999999
3922,3922,51633,20,hybrid,1000,216,Gambia,alpha,982817.4972845252,1180.0,981475.1225202348,437,22.187843,0.016,1.67,0.02672,1.0,7.228999999999999
3923,3923,51633,20,hybrid,1000,216,Mozambique,beta,782066.3601785655,1000.0,780943.6514043957,283,22.33439,0.016,1.0,0.016,1.0,3.366
3925,3925,51633,20,hybrid,1000,216,Mozambique,delta,958407.300567288,1580.0,956751.1161675258,387,22.265007,0.016,2.2,0.0352,1.0,3.366
3927,3927,51633,20,hybrid,1000,216,Gambia,alpha,980854.0069836434,780.0,980230.9487598692,84,22.212103,0.016,1.67,0.02672,1.0,7.228999999999999
3928,3928,51633,20,hybrid,1000,216,Gambia,gamma,995559.4189085168,1140.0,994282.3321432136,207,22.199451,0.016,2.0,0.032,1.0,7.228999999999999
3929,3929,51633,20,hybrid,1000,216,Mozambique,beta,783695.3713489173,1024.29981696,782154.0760259924,522,22.257532,0.016,1.0,0.016,1.0,3.366
3931,3931,51633,20,hybrid,1000,216,Mozambique,alpha,917359.0856866788,1060.0,916683.50219434,594,22.111395,0.016,1.67,0.02672,1.0,3.366
3932,3932,51633,20,hybrid,1000,216,Mozambique,beta,780848.8523517995,940.0,780015.2071581327,484,22.27328,0.016,1.0,0.016,1.0,3.366
3933,3933,51633,20,hybrid,1000,216,Gambia,delta,1000404.1711496328,1000.0,999315.9695974404,690,22.189903,0.016,2.2,0.0352,1.0,7.228999999999999
3936,3936,51633,20,hybrid,1000,216,Mozambique,beta,782407.7467494099,1009.816036424496,781514.3108440507,588,22.273636,0.016,1.0,0.016,1.0,3.366
3940,3940,51633,20,hybrid,1000,216,Gambia,alpha,980930.6296528552,1040.0,979859.1186150104,925,22.228378,0.016,1.67,0.02672,1.0,7.228999999999999
3942,3942,51633,20,hybrid,1000,216,Mozambique,beta,784142.0083190915,1320.0,782751.743819774,863,22.246605,0.016,1.0,0.016,1.0,3.366
3944,3944,51633,20,hybrid,1000,216,Mozambique,beta,784675.7620366894,1060.0,783572.9951606218,731,22.386826,0.016,1.0,0.016,1.0,3.366
3945,3945,51633,20,hybrid,1000,216,Gambia,alpha,983598.8484193996,1320.0,982318.2634357596,742,22.267607,0.016,1.67,0.02672,1.0,7.228999999999999
3949,3949,51633,20,hybrid,1000,216,Mozambique,beta,776595.9666927683,1003.5831808,775221.4151133853,163,22.314423,0.016,1.0,0.016,1.0,3.366
3950,3950,51633,20,hybrid,1000,216,Mozambique,beta,783901.6109789296,1180.0,782476.067808209,171,22.36664,0.016,1.0,0.016,1.0,3.366
3952,3952,51633,20,hybrid,1000,216,Mozambique,beta,788870.9734882154,1060.0,787688.6697709905,803,22.260687,0.016,1.0,0.016,1.0,3.366
3953,3953,51633,20,hybrid,1000,216,Gambia,beta,896263.0078172688,1000.0,895058.3535188327,58,22.182558,0.016,1.0,0.016,1.0,7.228999999999999
3955,3955,51633,20,hybrid,1000,216,Mozambique,beta,780848.8523517995,940.0,780015.2071581327,484,22.27328,0.016,1.0,0.016,1.0,3.366
3957,3957,51633,20,hybrid,1000,216,Mozambique,beta,782548.0567415894,987.43008370688,781709.0453689611,600,22.254566,0.016,1.0,0.016,1.0,3.366
3959,3959,51633,20,hybrid,1000,216,Gambia,alpha,981189.4174555691,900.0,980148.7073512368,643,22.21581,0.016,1.67,0.02672,1.0,7.228999999999999
3962,3962,51633,20,hybrid,1000,216,Mozambique,beta,782622.1605269436,1040.0,781350.6377110376,892,22.36069,0.016,1.0,0.016,1.0,3.366
3965,3965,51633,20,hybrid,1000,216,Gambia,alpha,983707.9728889652,1220.0,982653.6199612776,66,22.246086,0.016,1.67,0.02672,1.0,7.228999999999999
3967,3967,51633,20,hybrid,1000,216,Mozambique,beta,787971.409415693,1006.1917364224,787286.0270142272,99,22.285097,0.016,1.0,0.016,1.0,3.366
3968,3968,51633,20,hybrid,1000,216,Mozambique,beta,788886.847838688,878.4884258895036,788355.879598378,514,22.430096,0.016,1.0,0.016,1.0,3.366
3969,3969,51633,20,hybrid,1000,216,Mozambique,beta,777660.2179201129,980.0,776641.7301218946,288,22.271515,0.016,1.0,0.016,1.0,3.366
3970,3970,51633,20,hybrid,1000,216,Mozambique,gamma,949221.4290042688,1200.0,947879.6725137128,48,22.266283,0.016,2.0,0.032,1.0,3.366
3973,3973,51633,20,hybrid,1000,216,Mozambique,gamma,950042.7907620362,1000.0,949003.6059850878,842,22.353594,0.016,2.0,0.032,1.0,3.366
3975,3975,51633,20,hybrid,1000,216,Gambia,alpha,980880.8370307602,1160.0,980025.2881977264,607,22.168333,0.016,1.67,0.02672,1.0,7.228999999999999
3976,3976,51633,20,hybrid,1000,216,Mozambique,beta,786449.0783454848,868.87008370688,785527.9881611345,350,22.284157,0.016,1.0,0.016,1.0,3.366
3979,3979,51633,20,hybrid,1000,216,Mozambique,delta,964652.8718271236,1500.0,963425.3731298894,459,22.292006,0.016,2.2,0.0352,1.0,3.366
3983,3983,51633,20,hybrid,1000,216,Mozambique,beta,781069.844869663,1044.29981696,780535.683024387,679,22.215511,0.016,1.0,0.016,1.0,3.366
3984,3984,51633,20,hybrid,1000,216,Gambia,beta,906043.178917456,800.0,905261.5426638464,425,22.218061,0.016,1.0,0.016,1.0,7.228999999999999
3985,3985,51633,20,hybrid,1000,216,Mozambique,beta,786780.1608956635,800.0,785662.1658724999,57,22.196774,0.016,1.0,0.016,1.0,3.366
