,Unnamed: 0,Unnamed: 0.1,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
1505,3063,3063,51633,20,hybrid,1000,216,Mozambique,delta,963195.3617222008,1280.0,961857.2388132472,494,22.342157,0.016,2.2,0.0352,1.0,3.366
1509,3070,3070,51633,20,hybrid,1000,216,Mozambique,delta,960907.1480920248,980.0,959844.5191587956,442,22.162401,0.016,2.2,0.0352,1.0,3.366
1512,3074,3074,51633,20,hybrid,1000,216,Mozambique,beta,778331.4357022205,1120.0,777266.9875940533,697,22.276611,0.016,1.0,0.016,1.0,3.366
1516,3081,3081,51633,20,hybrid,1000,216,Mozambique,beta,782313.2669571568,1283.5831808,781131.6500593731,222,22.265913,0.016,1.0,0.016,1.0,3.366
1519,3091,3091,51633,20,hybrid,1000,216,Mozambique,beta,778285.175667437,1152.8391846454888,777282.9307405989,719,22.266237,0.016,1.0,0.016,1.0,3.366
1522,3095,3095,51633,20,hybrid,1000,216,Mozambique,delta,961614.6934769136,1000.0,960899.1012129716,714,22.327465,0.016,2.2,0.0352,1.0,3.366
1523,3096,3096,51633,20,hybrid,1000,216,Mozambique,delta,961749.3033082288,1140.0,960963.0795629856,211,22.29009,0.016,2.2,0.0352,1.0,3.366
1524,3098,3098,51633,20,hybrid,1000,216,Mozambique,beta,785969.3035316295,755.4070215745863,785272.2204101955,389,22.184181,0.016,1.0,0.016,1.0,3.366
1528,3106,3106,51633,20,hybrid,1000,216,Mozambique,beta,789400.3885576876,1080.0,788325.2137019205,375,22.318972,0.016,1.0,0.016,1.0,3.366
1529,3112,3112,51633,20,hybrid,1000,216,Mozambique,delta,960409.4065811532,1400.0,958990.8064559132,980,22.201189,0.016,2.2,0.0352,1.0,3.366
1530,3113,3113,51633,20,hybrid,1000,216,Mozambique,beta,771894.7308780446,995.4070215745865,770783.9434106288,702,22.227657,0.016,1.0,0.016,1.0,3.366
1534,3120,3120,51633,20,hybrid,1000,216,Mozambique,beta,776590.1591237364,1048.916100448256,776094.4230630621,2,22.126993,0.016,1.0,0.016,1.0,3.366
1536,3123,3123,51633,20,hybrid,1000,216,Mozambique,beta,776860.6715742568,992.8391846454888,775991.6571366154,154,22.23254,0.016,1.0,0.016,1.0,3.366
1537,3126,3126,51633,20,hybrid,1000,216,Mozambique,alpha,921469.5762308184,1300.0,920215.3997000076,371,22.349592,0.016,1.67,0.02672,1.0,3.366
1539,3129,3129,51633,20,hybrid,1000,216,Mozambique,beta,782460.9694487541,1200.0,781280.9336357348,441,22.373802,0.016,1.0,0.016,1.0,3.366
1542,3135,3135,51633,20,hybrid,1000,216,Mozambique,gamma,949401.37455128,1180.0,948284.9556363244,273,22.336706,0.016,2.0,0.032,1.0,3.366
1543,3137,3137,51633,20,hybrid,1000,216,Mozambique,beta,783792.6529060091,968.916100448256,782618.5850639313,787,22.409725,0.016,1.0,0.016,1.0,3.366
1545,3143,3143,51633,20,hybrid,1000,216,Mozambique,beta,781003.0128142068,880.0,780384.3272042758,114,22.29357,0.016,1.0,0.016,1.0,3.366
1547,3146,3146,51633,20,hybrid,1000,216,Mozambique,gamma,947014.132125887,1100.0,945916.8323271216,989,22.241537,0.016,2.0,0.032,1.0,3.366
1548,3147,3147,51633,20,hybrid,1000,216,Mozambique,beta,788170.80792783,1240.0,787191.7909151218,98,22.330833,0.016,1.0,0.016,1.0,3.366
1551,3153,3153,51633,20,hybrid,1000,216,Mozambique,beta,781635.2829059007,1020.0,780883.2672208592,416,22.430664,0.016,1.0,0.016,1.0,3.366
1552,3155,3155,51633,20,hybrid,1000,216,Mozambique,beta,781386.987027372,955.4070215745865,780092.13345606,498,22.296268,0.016,1.0,0.016,1.0,3.366
1553,3156,3156,51633,20,hybrid,1000,216,Mozambique,beta,787983.7066407008,1120.0,786971.1008967791,435,22.204935,0.016,1.0,0.016,1.0,3.366
1558,3168,3168,51633,20,hybrid,1000,216,Mozambique,gamma,944385.693002621,1300.0,943214.7315521806,87,22.096067,0.016,2.0,0.032,1.0,3.366
1560,3175,3175,51633,20,hybrid,1000,216,Mozambique,beta,786305.5102208211,1460.0,785181.8161047027,372,22.300898,0.016,1.0,0.016,1.0,3.366
1561,3176,3176,51633,20,hybrid,1000,216,Mozambique,delta,964234.2358496328,900.0,963571.0714758612,62,22.27119,0.016,2.2,0.0352,1.0,3.366
1563,3178,3178,51633,20,hybrid,1000,216,Mozambique,alpha,924419.0672833816,1140.0,923383.5852145136,617,22.423212,0.016,1.67,0.02672,1.0,3.366
1565,3181,3181,51633,20,hybrid,1000,216,Mozambique,beta,783435.4135185074,1280.0,782354.3848372288,376,22.323826,0.016,1.0,0.016,1.0,3.366
1566,3185,3185,51633,20,hybrid,1000,216,Mozambique,beta,782291.366360823,1152.8391846454888,780896.927047909,925,22.311329,0.016,1.0,0.016,1.0,3.366
1567,3188,3188,51633,20,hybrid,1000,216,Mozambique,gamma,954415.4281566846,1260.0,953091.467379246,32,22.225399,0.016,2.0,0.032,1.0,3.366
1571,3198,3198,51633,20,hybrid,1000,216,Mozambique,delta,961058.8488506142,1420.0,959618.6814667396,26,22.399319,0.016,2.2,0.0352,1.0,3.366
1573,3202,3202,51633,20,hybrid,1000,216,Mozambique,beta,784034.3945383865,1140.0,782787.1525509632,296,22.283735,0.016,1.0,0.016,1.0,3.366
1575,3204,3204,51633,20,hybrid,1000,216,Mozambique,beta,778600.7516027581,1040.0,777514.4732214678,146,22.216816,0.016,1.0,0.016,1.0,3.366
1576,3205,3205,51633,20,hybrid,1000,216,Mozambique,beta,787813.7019984972,1065.159780352,786707.269525446,883,22.283398,0.016,1.0,0.016,1.0,3.366
1577,3206,3206,51633,20,hybrid,1000,216,Mozambique,alpha,922027.8392640892,1260.0,920863.7194731154,583,22.22698,0.016,1.67,0.02672,1.0,3.366
1581,3212,3212,51633,20,hybrid,1000,216,Mozambique,beta,784728.0530993729,1080.0,784030.2159418155,121,22.272137,0.016,1.0,0.016,1.0,3.366
1585,3221,3221,51633,20,hybrid,1000,216,Mozambique,beta,792226.6011476923,1180.0,791888.6980441348,291,22.362667,0.016,1.0,0.016,1.0,3.366
1587,3227,3227,51633,20,hybrid,1000,216,Mozambique,beta,785708.1553479952,1135.4070215745865,784781.1836546457,382,22.273684,0.016,1.0,0.016,1.0,3.366
1588,3228,3228,51633,20,hybrid,1000,216,Mozambique,beta,775776.2457778993,1130.4915533824,774556.2561442778,661,22.29208,0.016,1.0,0.016,1.0,3.366
1591,3234,3234,51633,20,hybrid,1000,216,Mozambique,beta,782291.366360823,1152.8391846454888,780896.927047909,925,22.311329,0.016,1.0,0.016,1.0,3.366
1594,3238,3238,51633,20,hybrid,1000,216,Mozambique,beta,785657.7352305937,880.0,784656.5032684386,348,22.327663,0.016,1.0,0.016,1.0,3.366
