,Unnamed: 0,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
5152,5152,51633,20,hybrid,1000,216,Oman,alpha,1005738.6397704538,1360.0,1004361.1655696994,280,29.984007,0.016,1.67,0.02672,1.0,7.017
5157,5157,51633,20,hybrid,1000,216,Bangladesh,delta,992592.770534814,2160.0,990366.530941966,982,30.227804,0.016,2.2,0.0352,1.0,3.4690000000000003
5158,5158,51633,20,hybrid,1000,216,Bangladesh,delta,990603.8840586246,2480.0,988203.3509575004,594,29.970112,0.016,2.2,0.0352,1.0,3.4690000000000003
5159,5159,51633,20,hybrid,1000,216,Oman,gamma,1014376.9729520748,1280.0,1012984.3236650898,79,30.027817,0.016,2.0,0.032,1.0,7.017
5160,5160,51633,20,hybrid,1000,216,Bangladesh,delta,992161.386477386,2540.0,989487.7028411116,662,30.040916,0.016,2.2,0.0352,1.0,3.4690000000000003
5163,5163,51633,20,hybrid,1000,216,Bangladesh,delta,994003.166910017,2780.0,991367.7323402312,464,30.108576,0.016,2.2,0.0352,1.0,3.4690000000000003
5164,5164,51633,20,hybrid,1000,216,Bangladesh,delta,992746.1950060568,2940.0,989901.8317971772,577,30.026062,0.016,2.2,0.0352,1.0,3.4690000000000003
5165,5165,51633,20,hybrid,1000,216,Oman,gamma,1013506.759100618,1640.0,1011888.7295839166,638,29.947575,0.016,2.0,0.032,1.0,7.017
5168,5168,51633,20,hybrid,1000,216,Bangladesh,delta,994866.6413781028,2760.0,991982.1138025732,270,30.164454,0.016,2.2,0.0352,1.0,3.4690000000000003
5170,5170,51633,20,hybrid,1000,216,Bangladesh,delta,992768.0437233864,2520.0,990285.086333322,854,30.045416,0.016,2.2,0.0352,1.0,3.4690000000000003
5171,5171,51633,20,hybrid,1000,216,Bangladesh,delta,994064.3367091564,3020.0,991124.611942262,902,30.139673,0.016,2.2,0.0352,1.0,3.4690000000000003
5179,5179,51633,20,hybrid,1000,216,Bangladesh,delta,994437.1999085124,3200.0,991316.8271314874,131,30.231722,0.016,2.2,0.0352,1.0,3.4690000000000003
5186,5186,51633,20,hybrid,1000,216,Bangladesh,delta,991447.6372329858,2620.0,989072.6406191752,346,30.076538,0.016,2.2,0.0352,1.0,3.4690000000000003
5189,5189,51633,20,hybrid,1000,216,Bangladesh,delta,992961.8520915014,2880.0,990094.7917542768,368,30.217094,0.016,2.2,0.0352,1.0,3.4690000000000003
5190,5190,51633,20,hybrid,1000,216,Oman,gamma,1013546.4672436544,1400.0,1012102.3416410818,881,29.809671,0.016,2.0,0.032,1.0,7.017
5191,5191,51633,20,hybrid,1000,216,Bangladesh,delta,992742.784379639,2480.0,990228.6713234276,436,30.144512,0.016,2.2,0.0352,1.0,3.4690000000000003
5193,5193,51633,20,hybrid,1000,216,Bangladesh,beta,874457.8093165429,2552.839184645489,871970.6816020983,818,30.281044,0.016,1.0,0.016,1.0,3.4690000000000003
5198,5198,51633,20,hybrid,1000,216,Bangladesh,delta,993018.4274147016,2940.0,990175.0005926016,119,30.052874,0.016,2.2,0.0352,1.0,3.4690000000000003
5199,5199,51633,20,hybrid,1000,216,Bangladesh,alpha,967770.8803204192,2149.645754389648,966079.905063337,256,30.069483,0.016,1.67,0.02672,1.0,3.4690000000000003
5200,5200,51633,20,hybrid,1000,216,Bangladesh,delta,993751.4648176422,2480.0,991101.819402172,84,30.197502,0.016,2.2,0.0352,1.0,3.4690000000000003
5201,5201,51633,20,hybrid,1000,216,Bangladesh,delta,993434.4040220632,2320.0,990940.6455778008,497,30.109304,0.016,2.2,0.0352,1.0,3.4690000000000003
5203,5203,51633,20,hybrid,1000,216,Bangladesh,beta,871717.138205135,2320.0,869578.3823631741,522,30.135338,0.016,1.0,0.016,1.0,3.4690000000000003
5209,5209,51633,20,hybrid,1000,216,Bangladesh,delta,992478.7781643555,2400.0,990149.74961129,113,29.974783,0.016,2.2,0.0352,1.0,3.4690000000000003
5210,5210,51633,20,hybrid,1000,216,Bangladesh,gamma,984184.8999616154,2680.0,981446.2934764688,716,29.959679,0.016,2.0,0.032,1.0,3.4690000000000003
5212,5212,51633,20,hybrid,1000,216,Oman,beta,959308.5711620534,1380.0,957896.9993158418,724,30.123856,0.016,1.0,0.016,1.0,7.017
5213,5213,51633,20,hybrid,1000,216,Oman,gamma,1013812.014244624,1620.0,1012365.0193980052,387,29.992046,0.016,2.0,0.032,1.0,7.017
5215,5215,51633,20,hybrid,1000,216,Oman,gamma,1013331.8035147068,1380.0,1011968.2056782824,86,29.785103,0.016,2.0,0.032,1.0,7.017
