,Unnamed: 0,pop_size,pop_scale,pop_type,pop_infected,n_days,location,variants,cum_infections,cum_deaths,cum_recoveries,rand_seed,avg_age,wild_beta,rel_beta,beta,rel_severe_prob,contacts
378,378,51633,20,hybrid,1000,216,Bangladesh,beta,878229.1335837941,2340.0,876086.3092950055,743,30.343307,0.016,1.0,0.016,1.0,3.4690000000000003
379,379,51633,20,hybrid,1000,216,Oman,gamma,1015713.2545105148,1260.0,1014409.2282392016,254,30.037313,0.016,2.05,0.0327999999999999,1.0,7.017
382,382,51633,20,hybrid,1000,216,Oman,alpha,1006260.414927406,1640.0,1004557.6529366038,884,30.08723,0.016,1.67,0.02672,1.0,7.017
383,383,51633,20,hybrid,1000,216,Bangladesh,delta,991304.506357624,2700.0,988610.0558666312,427,30.142149,0.016,2.2,0.0352,1.0,3.4690000000000003
386,386,51633,20,hybrid,1000,216,Bangladesh,delta,991817.7944415126,2760.0,989057.3371028714,303,30.081589,0.016,2.2,0.0352,1.0,3.4690000000000003
387,387,51633,20,hybrid,1000,216,Oman,gamma,1014736.1158849172,1560.0,1013321.0211679268,993,30.099472,0.016,2.05,0.0327999999999999,1.0,7.017
389,389,51633,20,hybrid,1000,216,Oman,gamma,1015443.9192185831,1360.0,1014183.713431546,970,29.994442,0.016,2.05,0.0327999999999999,1.0,7.017
390,390,51633,20,hybrid,1000,216,Bangladesh,delta,990423.8184968724,2660.0,987624.6698810348,675,30.097431,0.016,2.2,0.0352,1.0,3.4690000000000003
391,391,51633,20,hybrid,1000,216,Oman,gamma,1015020.2044127584,1420.0,1013608.1125483102,555,30.002394,0.016,2.05,0.0327999999999999,1.0,7.017
393,393,51633,20,hybrid,1000,216,Oman,gamma,1015089.8920870149,1180.0,1013877.7050969772,509,29.901596,0.016,2.05,0.0327999999999999,1.0,7.017
394,394,51633,20,hybrid,1000,216,Oman,gamma,1015541.8495112977,1420.0,1014108.5219333268,141,29.962444,0.016,2.05,0.0327999999999999,1.0,7.017
397,397,51633,20,hybrid,1000,216,Bangladesh,delta,994187.366910939,2600.0,991445.4330335816,817,30.229437,0.016,2.2,0.0352,1.0,3.4690000000000003
400,400,51633,20,hybrid,1000,216,Bangladesh,delta,992783.2435444748,2980.0,989917.450257001,680,29.909271,0.016,2.2,0.0352,1.0,3.4690000000000003
401,401,51633,20,hybrid,1000,216,Oman,delta,1016995.154431995,1800.0,1015115.1125228252,372,30.007652,0.016,2.2,0.0352,1.0,7.017
403,403,51633,20,hybrid,1000,216,Oman,delta,1017090.8696547868,1480.0,1015623.9401599796,337,29.920746,0.016,2.2,0.0352,1.0,7.017
404,404,51633,20,hybrid,1000,216,Oman,beta,955630.6851708036,1327.43008370688,953878.1401889952,114,30.006948,0.016,1.0,0.016,1.0,7.017
405,405,51633,20,hybrid,1000,216,Oman,alpha,1007250.7544382385,1660.0,1005314.7091434448,433,30.001007,0.016,1.67,0.02672,1.0,7.017
407,407,51633,20,hybrid,1000,216,Oman,gamma,1014358.9457123944,1560.0,1012857.7986088702,85,29.895393,0.016,2.05,0.0327999999999999,1.0,7.017
408,408,51633,20,hybrid,1000,216,Oman,gamma,1014661.9311149822,1600.0,1013174.1910216124,839,29.911718,0.016,2.05,0.0327999999999999,1.0,7.017
410,410,51633,20,hybrid,1000,216,Bangladesh,delta,993349.7282205288,2940.0,990399.1041676434,445,30.205969,0.016,2.2,0.0352,1.0,3.4690000000000003
411,411,51633,20,hybrid,1000,216,Bangladesh,delta,992352.68808445,2900.0,989469.5237043508,352,30.08787,0.016,2.2,0.0352,1.0,3.4690000000000003
413,413,51633,20,hybrid,1000,216,Bangladesh,delta,996530.6012282388,3080.0000000000005,993351.5368596112,298,30.2534,0.016,2.2,0.0352,1.0,3.4690000000000003
416,416,51633,20,hybrid,1000,216,Oman,gamma,1014517.7915922316,1260.0,1013369.7386566766,271,29.97101,0.016,2.05,0.0327999999999999,1.0,7.017
418,418,51633,20,hybrid,1000,216,Oman,delta,1018617.2739654907,1720.0,1016973.1962181934,623,29.999414,0.016,2.2,0.0352,1.0,7.017
421,421,51633,20,hybrid,1000,216,Oman,gamma,1013854.2985277816,1380.0000000000002,1012474.3213874552,471,29.882113,0.016,2.05,0.0327999999999999,1.0,7.017
422,422,51633,20,hybrid,1000,216,Bangladesh,delta,993283.3959794044,3140.0,990033.4166119734,426,30.184925,0.016,2.2,0.0352,1.0,3.4690000000000003
423,423,51633,20,hybrid,1000,216,Bangladesh,delta,991698.661046534,2620.0,988842.5841759252,578,30.21452,0.016,2.2,0.0352,1.0,3.4690000000000003
424,424,51633,20,hybrid,1000,216,Bangladesh,delta,993225.3732860436,2520.0,990554.8528098186,513,30.177864,0.016,2.2,0.0352,1.0,3.4690000000000003
425,425,51633,20,hybrid,1000,216,Bangladesh,delta,990475.0833590556,2740.0,987859.0524743656,246,30.055637,0.016,2.2,0.0352,1.0,3.4690000000000003
427,427,51633,20,hybrid,1000,216,Bangladesh,delta,991416.8053103524,2740.0,988681.7165129692,125,30.204094,0.016,2.2,0.0352,1.0,3.4690000000000003
429,429,51633,20,hybrid,1000,216,Oman,gamma,1014433.1169008822,1480.0,1012801.9514255052,48,29.930935,0.016,2.05,0.0327999999999999,1.0,7.017
430,430,51633,20,hybrid,1000,216,Bangladesh,delta,993834.4228900644,3000.0,990652.7910717928,697,30.168846,0.016,2.2,0.0352,1.0,3.4690000000000003
431,431,51633,20,hybrid,1000,216,Bangladesh,delta,994199.9452866578,2840.0,991530.2225650342,871,30.26852,0.016,2.2,0.0352,1.0,3.4690000000000003
432,432,51633,20,hybrid,1000,216,Oman,gamma,1015066.501369837,1720.0,1013380.5914024692,517,29.946903,0.016,2.05,0.0327999999999999,1.0,7.017
434,434,51633,20,hybrid,1000,216,Oman,gamma,1015432.3850134696,1380.0,1014125.2084966876,45,30.094002,0.016,2.05,0.0327999999999999,1.0,7.017
439,439,51633,20,hybrid,1000,216,Bangladesh,delta,993934.56090092,2480.0,991408.1692473744,5,30.294857,0.016,2.2,0.0352,1.0,3.4690000000000003
445,445,51633,20,hybrid,1000,216,Oman,gamma,1015192.0293065629,1680.0,1013478.699447712,639,29.956188,0.016,2.05,0.0327999999999999,1.0,7.017
