,Unnamed: 0,G_Na,G_si,G_K,G_K1,G_Kp,G_b,max_voltage,rest_voltage,max_voltage_gradient,dome_voltage,APD50,APD90
118,118,0.44723462836499117,0.5076807743820788,0.07268321241046734,0.17333348862441242,1.0,0.022552405742002634,46.60961549240384,-84.14387840768758,325.780547380687,14.0031258861674,333,461
119,119,0.24840752019570195,0.7209111604057119,0.3498538535526116,0.24898809634171098,0.7227116090836861,0.48789671588625605,44.62331355273451,-83.5272500164981,297.9874389244022,12.909674998814465,300,414
120,120,0.8931029187331204,0.8144352293050808,0.3602523343030161,0.557831633678613,0.946349323091294,0.11381271175556765,49.98610018876256,-84.58301210464634,361.95772347486894,16.168452787107157,328,445
121,121,0.5167791865298091,0.46170456665603254,0.43553500601288625,0.5241912793619702,0.535033682579355,0.7912674582488723,47.37478490039806,-83.82617757135638,326.3322514893345,8.091568503413956,239,340
122,122,0.907926671719138,0.5172301492646861,0.7046972527786517,0.15623811427753717,0.11893490361882957,0.026768308109174653,51.31391671778591,-84.11216691819165,374.332752737528,17.449487145464307,276,380
123,123,0.8325776490804845,0.2295140586238158,0.03353087600354642,0.6113578953552536,0.0805369085679526,0.8050804952633395,50.20987071478788,-84.06836861675251,362.1480987550335,7.047826988853685,227,334
124,124,0.42482357991898684,0.555143917631392,0.2841012461523239,0.6071804164491524,0.80912585412529,0.6724632219918791,45.85962712396174,-84.11392373464562,330.4365994495148,9.502118777532218,270,372
125,125,0.04811230238168309,0.9783278992913798,0.3691584583393968,0.12239085389084471,0.5651271292677846,0.2519667249237345,41.975493819263896,-83.36558093744718,295.7251909897203,18.37997675807712,350,474
126,126,0.363093161669796,0.1620522541157158,0.1884447661004351,0.013120552607445669,0.23543286690001075,0.3801701435241429,46.869005256678165,-83.3634262352945,330.47903954815223,9.422083002894722,249,360
127,127,0.12099506249639645,0.3806981050236881,0.6245359590890505,0.1374612752792729,0.970031623758775,0.5866290175337869,43.21838559475417,-83.25149887428587,295.13594657711303,7.326733476743455,241,340
128,128,0.0700300501370087,0.3155841759517972,0.8030211272102885,0.5788760111888697,0.24193785160046455,0.6469837466491771,41.31517614053671,-84.17026125465696,300.50506231082386,7.820505610453098,228,305
129,129,0.5879429156111539,0.20784610028332764,0.7903430908171405,0.40730565462617846,0.12610710723997345,0.9156339391796079,48.67679141900639,-83.46897516169784,349.8034587643526,4.131115514836827,184,279
130,130,0.5984449376943703,0.7108903436237702,0.844159749878168,0.7371032681558071,0.003959167978030845,0.2760190704032546,47.30314120136169,-84.72236308640478,352.41743748183484,17.45689178134362,279,364
131,131,0.08311200617344895,0.769652874359013,0.9061848180428624,0.5349819050350932,0.007841754373448024,0.3370343365505915,41.55580439137724,-84.30182890351372,296.1710114213581,41.55580439137724,287,368
132,132,0.49883143889095083,0.7033461957808039,0.7204391241206471,0.3577056511551672,0.7931102205690582,0.037476457101969896,46.78467695301799,-84.41659453342474,341.1465553304721,46.78467695301799,302,400
133,133,0.8681218934668845,0.22020271898773502,0.7660669951727568,0.7063850427845244,0.24410119009635245,0.5960684398376526,50.01145119455016,-84.48511436324907,346.0409955620519,7.152147188547123,206,294
134,134,0.7874749128007087,0.6113004627012809,0.4298263839839642,0.5698310955634417,0.6098726208795473,0.23194819397994698,49.25951817318671,-84.57396230835188,356.1192780518109,14.365316312612311,294,398
135,135,0.33593844182722754,0.9408525285166657,0.8476547830140246,0.29054143611802297,0.13533457054861017,0.7392417946620606,46.15307136661367,-83.14200380631367,323.7595445766183,14.667265955205847,270,376
136,136,0.9400990818674285,0.9480143766859699,0.8799003390019469,0.006120028701492343,0.6167523424082814,0.35910922505914833,52.27682031979501,-82.92611856407653,354.8852364276943,15.966133912093744,279,403
137,137,0.9628110381985653,0.6261264670260502,0.4992151293639442,0.09181938299591168,0.5989157851718029,0.3128119597085106,52.08721595872068,-83.44157996871444,365.43363388480816,13.71827649378979,276,400
138,138,0.41395208202233774,0.7935185467111818,0.5724157468228757,0.8766455305931214,0.8788575581565795,0.7839854888094407,45.13848529755172,-84.32970480415878,335.6818437456624,45.13848529755172,272,365
