,Unnamed: 0,Unnamed: 0.1,G_Na,G_si,G_K,G_K1,G_Kp,G_b,max_voltage_gradient,max_voltage,dome_voltage,APD90,rest_voltage,APD50,APDr_slope,min_di
52,52,52,0.3264,0.6528,0.3825,0.5414,0.0242,0.7461,392.0168,45.2213,12.5812,374.4488,-84.0512,332.2631,1.1265,4.9599
53,53,53,0.4915,0.4171,0.1822,0.2325,0.3028,0.3156,415.1179,47.5492,12.9521,400.3574,-84.168,354.2578,1.1313,5.6194
54,54,54,0.2627,0.4022,0.1729,0.2658,0.1518,0.4813,383.2344,44.9104,11.8502,385.321,-83.9627,341.3286,1.1003,5.9011
55,55,55,0.9621,0.1709,0.8096,0.774,0.1204,0.213,476.0291,50.2122,10.9533,308.4065,-85.2568,279.2784,1.4811,6.4122
56,56,56,0.4633,0.1844,0.6935,0.9994,0.7924,0.922,411.2691,45.4604,2.6434,274.6674,-84.6356,251.0808,2.2412,7.1541
57,57,57,0.2591,0.6135,0.4972,0.385,0.3669,0.4618,382.9952,44.4374,13.1004,382.3729,-84.1892,339.515,1.1356,5.9821
58,58,58,0.408,0.245,0.8018,0.7642,0.0116,0.5344,404.5271,45.3612,9.0451,301.3936,-84.7989,271.6818,1.9847,8.208
59,59,59,0.6904,0.5552,0.4653,0.1223,0.3254,0.2075,440.9022,49.8245,15.0514,399.7329,-84.0579,350.6234,1.1288,6.8811
60,60,60,0.3739,0.9462,0.5201,0.6224,0.7592,0.0734,400.4944,44.8055,18.1606,443.0594,-85.0607,396.1864,1.3659,5.5219
61,61,61,0.1832,0.7012,0.1895,0.4331,0.103,0.0371,373.5996,42.9839,20.318,458.6411,-84.8905,403.8863,1.26,4.9736
62,62,62,0.8484,0.6693,0.5667,0.7334,0.9184,0.8203,460.224,49.9043,8.895,352.2303,-84.2886,318.9671,1.3492,6.8106
63,63,63,0.5696,0.9633,0.127,0.275,0.2365,0.7679,423.493,48.8848,15.0409,454.7333,-83.3294,395.2105,1.0016,6.3889
64,64,64,0.3374,0.7542,0.0376,0.1109,0.2555,0.1648,394.1211,46.0463,18.6637,495.5137,-84.0107,428.3921,1.0798,5.7442
65,65,65,0.2108,0.6025,0.6582,0.4568,0.1275,0.8954,375.0532,44.0608,9.8434,339.9997,-83.6575,301.3441,1.473,7.1468
66,66,66,0.2055,0.951,0.5776,0.6678,0.736,0.6854,375.2419,43.0361,13.0556,396.5366,-84.2986,355.7004,1.2185,6.991
67,67,67,0.5164,0.0518,0.1966,0.1538,0.0334,0.6582,416.9062,48.5332,5.7982,319.1822,-83.4607,281.7966,1.2499,6.1752
68,68,68,0.4181,0.2366,0.3652,0.466,0.9523,0.9887,403.6617,46.5213,2.8502,306.1797,-83.6213,274.666,1.4544,5.1689
69,69,69,0.7385,0.9918,0.6096,0.6759,0.0931,0.0111,448.7092,48.5628,23.2551,436.7146,-85.1941,385.3573,1.4372,5.7451
70,70,70,0.0765,0.7464,0.526,0.8157,0.2005,0.4174,357.4882,40.7514,15.7265,389.0908,-84.9209,348.9411,1.3354,5.7974
71,71,71,0.8256,0.4657,0.117,0.3377,0.6266,0.4722,457.6022,50.5363,10.9332,399.6653,-84.1217,357.4176,1.1128,5.5068
72,72,72,0.6604,0.6719,0.1504,0.4201,0.0859,0.5766,436.7124,49.1125,14.4752,415.1368,-84.0638,367.3868,1.0834,6.5043
73,73,73,0.1346,0.3891,0.0045,0.8708,0.4894,0.0545,367.0217,41.1536,14.5576,422.8949,-85.5273,386.6712,1.3293,4.9851
74,74,74,0.8626,0.3521,0.3735,0.7046,0.6736,0.6606,462.5282,49.9694,7.6891,336.1102,-84.5279,304.7016,1.3843,5.803
75,75,75,0.1994,0.1992,0.4297,0.2388,0.9312,0.0253,375.7144,43.3567,10.2152,366.8915,-84.7499,329.1061,1.0899,5.1261
76,76,76,0.6037,0.3555,0.1425,0.7759,0.6889,0.5445,430.3698,47.266,8.9177,363.1549,-84.7947,330.786,1.1378,4.1666
77,77,77,0.5406,0.0246,0.6312,0.318,0.7248,0.7108,420.3948,48.0999,2.4468,281.4915,-83.7787,251.4811,1.9321,5.6033
78,78,78,0.169,0.4583,0.0186,0.2927,0.3828,0.4655,370.0744,43.4559,11.9059,413.0544,-84.0373,366.7858,1.0753,5.2621
79,79,79,0.0144,0.2971,0.1139,0.0102,0.1653,0.6349,345.372,42.3178,9.0343,373.5015,-83.0073,325.3927,0.9443,4.9808
80,80,80,0.7723,0.9826,0.9383,0.4002,0.4937,0.1924,451.9308,49.7055,18.1911,400.8485,-84.5325,352.9173,1.2354,5.6056
81,81,81,0.7684,0.551,0.9477,0.4362,0.1422,0.6467,450.2097,50.0935,11.0706,327.7489,-84.0095,289.9154,1.4169,7.4836
82,82,82,0.3881,0.8323,0.0213,0.3271,0.8532,0.3531,401.044,46.0185,14.7499,489.4095,-84.1665,433.553,1.0471,6.0798
83,83,83,0.061,0.3739,0.4325,0.3104,0.6199,0.0868,355.3113,41.3316,12.82,384.2893,-84.7229,343.5875,1.157,5.9294
84,84,84,0.5758,0.4365,0.8331,0.2475,0.7975,0.3462,426.0474,48.3167,10.1536,344.2773,-84.1395,305.4455,1.2962,5.6234
85,85,85,0.1716,0.7993,0.2105,0.9192,0.7759,0.2621,371.7846,41.6339,15.3975,440.6182,-85.2296,400.8039,1.3732,4.4862
86,86,86,0.7179,0.9967,0.8102,0.8384,0.4387,0.2368,445.7291,48.0827,18.4529,401.695,-85.1193,360.3776,1.3942,5.5818
87,87,87,0.5318,0.5068,0.7869,0.4185,0.2248,0.6436,419.849,47.8175,10.4828,334.4668,-83.9919,296.8279,1.4159,5.8391
88,88,88,0.2539,0.9339,0.6043,0.4922,0.6338,0.5108,382.404,44.0642,14.6507,407.0339,-84.2361,361.034,1.2054,5.4315
89,89,89,0.9519,0.7241,0.0069,0.5897,0.9917,0.4079,473.6558,50.7089,12.8766,454.5765,-84.6115,410.7978,1.1206,5.1166
